id,category,input,behavior,tools,expected_json,notes
TC075,ambiguous,Buat aturan otomatis untuk kipas,clarification,,"{""behavior"":""clarification""}","Device disebut tapi tidak ada trigger, metric, maupun ambang batas untuk membentuk rule."
TC076,ambiguous,Matikan semuanya,clarification,,"{""behavior"":""clarification""}",Tidak ada tool untuk operasi massal; tidak jelas device mana yang dimaksud.
TC077,ambiguous,Nyalakan yang di ruang tamu,clarification,,"{""behavior"":""clarification""}","Ambigu sungguhan: Lampu ruang tamu, Kipas (""Kipas ruang tamu""), dan Suhu ruangan sama-sama berlokasi ruang tamu."
TC078,ambiguous,Ganti status perangkat itu,clarification,,"{""behavior"":""clarification""}","Rujukan kata ganti (""itu"") tanpa histori percakapan maupun nama device eksplisit."
TC079,ambiguous,Setel waktu otomatis untuk lampu,clarification,,"{""behavior"":""clarification""}","Device disebut tapi tidak spesifik (ada dua lampu terdaftar: ""Lampu ruang tamu"" dan ""Lampu kamar"") dan tidak ada state maupun jam yang pasti untuk membentuk jadwal."
TC080,ambiguous,Bantu urus perangkat rumah saya,clarification,,"{""behavior"":""clarification""}","Tidak ada device, aksi, maupun intent yang bisa dipetakan ke tool apa pun."
TC081,invalid,Nyalakan televisi ruang tamu,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC082,invalid,Matikan AC kamar mandi,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC083,invalid,Nyalakan kulkas dapur,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC084,invalid,Hidupkan pemanas air,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC085,invalid,Nyalakan AC kamar tidur,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC086,invalid,Matikan pemanas ruangan,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC087,invalid,Hapus jadwal jam 18:00 untuk lampu ruang tamu,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Tidak ada tool delete_schedule pada implementasi saat ini (gap Tabel 3.8 — lihat evaluation/README.md).
TC088,invalid,Ubah aturan otomatis id 1 supaya threshold jadi 35 derajat,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Tidak ada tool update_dynamic_rule pada implementasi saat ini (gap Tabel 3.8 — lihat evaluation/README.md); yang tersedia hanya create/list/get/set_active/delete.
TC089,invalid,Nyalakan speaker ruang keluarga,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC090,invalid,Matikan kamera CCTV garasi,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC091,invalid,Nyalakan mesin cuci,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC092,invalid,Matikan router wifi,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC093,invalid,Aktifkan alarm keamanan rumah,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC094,invalid,Nyalakan proyektor ruang rapat,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC095,invalid,Kunci pintu depan otomatis,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar di database.
TC096,invalid,Nyalakan lampu taman,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}","Perangkat tidak terdaftar di database (berbeda dari ""Lampu ruang tamu"" maupun ""Lampu kamar"")."
TC097,invalid,Matikan semua perangkat sekaligus,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Tidak ada tool untuk operasi massal/bulk pada implementasi saat ini.
TC098,invalid,Hapus semua log kipas,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Tidak ada tool delete_log pada implementasi saat ini.
TC099,invalid,Ubah nama device kipas menjadi Kipas Kamar,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Tidak ada tool untuk rename/update metadata device pada implementasi saat ini.
TC100,invalid,Setel suhu AC ke 22 derajat,reject_or_no_tool,,"{""behavior"":""reject_or_no_tool""}",Perangkat tidak terdaftar (AC) dan tidak ada tool untuk kontrol suhu analog.
